flame,point,x_over_d,kind,r_over_d,F,F_rms,T,T_rms,Y_O2,Y_N2,Y_H2O,Y_CH4,Y_CO,Y_CO2,Y_OH,Y_H2,Y_NO,Y_CO_LIF
C,02,2.0,Yfav,0.93,0.2661,0.0148,1846.0,55.0,0.0553,0.734,0.0916,0.000386,0.0017,0.114,0.00167,5.46e-05,1.52e-05,0.00256
C,02,2.0,Yfav,1.07,0.2225,0.0174,1620.0,83.0,0.0843,0.736,0.0776,1.23e-05,0.000186,0.1,0.000703,2.77e-06,9.8e-06,0.000653
C,02,2.0,Yfav,1.21,0.161,0.03,1297.0,144.0,0.128,0.741,0.0583,0.000151,0.0,0.0719,0.000195,1.96e-05,6.19e-06,0.000149
C,02,2.0,Yfav,1.35,0.0886,0.0292,909.0,168.0,0.177,0.748,0.036,2.04e-06,5.86e-05,0.0387,2.97e-05,8.2e-06,2.94e-06,0.000155
C,02,2.0,Yfav,1.49,0.0331,0.0168,562.0,113.0,0.215,0.754,0.0191,0.0,0.0,0.0124,3.01e-06,1.79e-05,1.09e-06,0.000103
C,02,2.0,Yfav,1.62,0.0067,0.0042,367.0,38.0,0.232,0.757,0.00983,0.0,0.0,0.00125,2.64e-08,1.07e-05,1.83e-07,1.81e-05
C,02,2.0,Yfav,1.76,0.0011,0.0011,312.0,13.0,0.234,0.759,0.00733,0.0,0.0,0.0,1.06e-08,6.57e-06,1.02e-07,1.33e-05
C,03,3.0,Yave,-0.46,0.8929,0.0659,494.0,151.0,0.185,0.654,0.0124,0.133,0.00311,0.0105,2.73e-06,0.000308,1.9e-06,0.00401
C,03,3.0,Yave,-0.32,0.9686,0.0336,326.0,42.0,0.197,0.649,0.00256,0.15,0.000247,0.00113,1.94e-08,4.89e-05,3.47e-07,0.000581
C,03,3.0,Yave,-0.18,0.9914,0.0226,291.0,4.0,0.198,0.647,0.000582,0.155,0.000349,0.0,4.13e-07,4.06e-06,1.69e-07,6.14e-05
C,03,3.0,Yave,-0.04,0.9908,0.0246,290.0,3.0,0.198,0.647,0.00053,0.155,0.000375,0.0,4.36e-07,2.44e-06,9.17e-08,4.5e-05
C,03,3.0,Yave,0.1,0.9912,0.0216,290.0,3.0,0.198,0.647,0.000519,0.155,0.000329,0.0,4.28e-07,3.8e-06,9.7e-08,4.38e-05
C,03,3.0,Yave,0.24,0.9878,0.0238,301.0,18.0,0.196,0.648,0.00102,0.154,0.000435,0.000245,4.19e-07,1.63e-05,1.68e-07,0.000187
C,03,3.0,Yave,0.38,0.9548,0.054,410.0,132.0,0.183,0.654,0.00786,0.145,0.00299,0.00743,3.07e-06,0.000195,1.05e-06,0.00238
C,03,3.0,Yave,0.51,0.8326,0.095,763.0,274.0,0.138,0.674,0.0325,0.113,0.014,0.0305,1.96e-05,0.000804,5.93e-06,0.0114
C,03,3.0,Yave,0.65,0.5809,0.1131,1477.0,332.0,0.0515,0.704,0.0829,0.0455,0.0329,0.0809,0.00029,0.00152,2.24e-05,0.0337
C,03,3.0,Yave,0.79,0.3527,0.0317,1960.0,57.0,0.0219,0.724,0.108,0.00243,0.0179,0.118,0.00272,0.000642,3.47e-05,0.0227
C,03,3.0,Yave,0.93,0.2613,0.019,1815.0,70.0,0.0612,0.733,0.0915,0.000191,0.00201,0.108,0.00203,8.81e-05,1.78e-05,0.00399
C,03,3.0,Yave,1.07,0.2027,0.026,1531.0,124.0,0.0989,0.738,0.072,0.000202,0.00033,0.0893,0.000682,2.28e-05,1.01e-05,0.000576
C,03,3.0,Yave,1.21,0.1472,0.0315,1245.0,161.0,0.137,0.742,0.0543,5.17e-05,7.59e-06,0.0658,0.000161,0.0,6.31e-06,0.000156
C,03,3.0,Yave,1.35,0.0964,0.0331,950.0,192.0,0.172,0.748,0.0379,5.29e-05,0.000165,0.0427,3.32e-05,1.26e-05,3.56e-06,9.84e-05
C,03,3.0,Yave,1.49,0.0508,0.0253,672.0,165.0,0.202,0.753,0.0243,0.0,0.0,0.0212,8.66e-06,1.68e-05,1.78e-06,8.42e-05
C,03,3.0,Yave,1.62,0.0148,0.0095,421.0,75.0,0.227,0.755,0.0128,0.0,0.0,0.00444,3.71e-07,1.29e-05,5.44e-07,2.2e-05
C,03,3.0,Yave,1.76,0.0023,0.0016,316.0,17.0,0.235,0.758,0.00785,0.0,0.0,3.54e-05,4.11e-08,7.59e-06,1.1e-07,7.19e-06
C,03,3.0,Yave,1.9,0.0012,0.001,302.0,9.0,0.235,0.758,0.00723,1.84e-06,0.0,0.0,0.0,5.54e-06,1.03e-07,3.16e-06
