profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co,n2
radial,1,-0.9722222522315052,0.007199999876320362,-0.007000000216066837,290.9999694824219,6.53560709906742e-05,0.05774257704615593,0.10752920806407928,0.092378631234169,0.003985827323049307,0.7382984161376953
radial,1,-1.0416667080587811,0.007199999876320362,-0.007500000298023224,290.9999694824219,2.8769156415364705e-05,0.061010900884866714,0.10555987805128098,0.09080272167921066,0.003912829793989658,0.738684892654419
radial,1,-1.1111111638860571,0.007199999876320362,-0.00800000037997961,290.99993896484375,1.2727035937132314e-05,0.06959769129753113,0.10037447512149811,0.08665013313293457,0.0037206204142421484,0.7396442890167236
radial,1,-1.2499999461902513,0.007199999876320362,-0.008999999612569809,290.9998474121094,1.8345604075875599e-06,0.1210368275642395,0.06929872930049896,0.0617605522274971,0.0025687231682240963,0.7453333139419556
radial,1,-1.388888857844803,0.007199999876320362,-0.009999999776482582,290.99981689453125,3.640976729002432e-07,0.18577323853969574,0.03018781915307045,0.030434835702180862,0.0011189838405698538,0.7524847388267517
radial,1,-1.5277777694993548,0.007199999876320362,-0.010999999940395355,290.9998474121094,6.915743711033429e-08,0.2229003608226776,0.007757158949971199,0.01246907189488411,0.00028753766673617065,0.7565858364105225
radial,1,-1.6666666811539068,0.007199999876320362,-0.012000000104308128,290.99993896484375,4.250531926430767e-09,0.2348204106092453,0.0005555651732720435,0.006700978148728609,2.0593350200215355e-05,0.7579025030136108
radial,1,-1.8055555928084586,0.007199999876320362,-0.013000000268220901,291.0,1.3479731220122915e-10,0.23570460081100464,2.1379612007876858e-05,0.006273123901337385,7.924869578346261e-07,0.7580001354217529
radial,1,-1.9444445044630103,0.007199999876320362,-0.014000000432133675,291.0,4.496390672986683e-12,0.2357385903596878,8.477786650473718e-07,0.006256679072976112,3.1425130941897805e-08,0.758003830909729
radial,1,-2.0833334161175623,0.007199999876320362,-0.015000000596046448,291.0,1.3964127163618167e-12,0.23573991656303406,4.359711525125931e-08,0.0062560345977544785,1.6159719118391536e-09,0.7580040097236633
radial,1,-2.2222223277721143,0.007199999876320362,-0.01600000075995922,291.0,1.7838740467429615e-12,0.23573997616767883,3.742223864122707e-09,0.006256002467125654,1.3883491578603468e-10,0.7580040097236633
radial,1,-2.546296196265353,0.007199999876320362,-0.018333332613110542,291.0,3.2127213216159856e-12,0.23574000597000122,7.151151892870189e-11,0.006256000138819218,2.4134587557622655e-12,0.7580040097236633
radial,1,-2.8703703234593076,0.007199999876320362,-0.020666666328907013,291.0,6.017806045144347e-12,0.23574000597000122,0.0,0.006256000138819218,0.0,0.7580040097236633
radial,1,-3.1944444506532617,0.007199999876320362,-0.023000000044703484,291.0,1.0521659932205552e-11,0.23574000597000122,0.0,0.006256000138819218,0.0,0.7580040097236633
radial,1,-3.518518577847216,0.007199999876320362,-0.025333333760499954,291.0,1.7632355645003095e-11,0.23574000597000122,0.0,0.006256000138819218,0.0,0.7580040097236633
radial,1,-3.84259270504117,0.007199999876320362,-0.027666667476296425,291.0,2.3575350005522466e-11,0.23574000597000122,0.0,0.006256000138819218,0.0,0.7580040097236633
radial,1,-4.166666832235125,0.007199999876320362,-0.030000001192092896,291.0,2.435330236083555e-11,0.23574000597000122,1.1986616560433205e-11,0.006256000138819218,4.4431396496041886e-13,0.7580040097236633
radial,1,-5.555555431379212,0.007199999876320362,-0.03999999910593033,291.0,1.4095355091447992e-11,0.23574000597000122,4.2317149784310004e-11,0.006256000138819218,1.568593237070981e-12,0.7580040097236633
radial,1,-6.000000155634351,0.007199999410659075,-0.04320000112056732,291.0,1.1312887258918547e-11,0.23574000597000122,3.266342404883993e-11,0.006256000138819218,1.2107538279251817e-12,0.7580040097236633
radial,2,6.000000155634351,0.014399999752640724,0.04320000112056732,291.0,2.2913799330170903e-11,0.23574000597000122,1.0550327278480154e-10,0.006256000138819218,3.910754532709948e-12,0.7580039501190186
radial,2,5.555555431379212,0.014399999752640724,0.03999999910593033,291.0,2.8429574666644086e-11,0.23574000597000122,1.4372060486156357e-10,0.006256000138819218,5.32738089753515e-12,0.7580040097236633
radial,2,4.1666665735344095,0.014399999752640724,0.029999999329447746,291.0,4.2687502838090197e-11,0.23574000597000122,2.8969038279313963e-10,0.006256000138819218,1.0738102247664916e-11,0.7580040097236633
radial,2,3.84259270504117,0.014399999752640724,0.027666667476296425,291.0,3.9530441420243534e-11,0.23574000597000122,2.8840588250922394e-10,0.006256000138819218,1.0690451995865047e-11,0.7580040097236633
radial,2,3.518518577847216,0.014399999752640724,0.025333333760499954,291.0,3.060679140687306e-11,0.23574000597000122,2.5673246861757093e-10,0.006256000138819218,9.516180378421613e-12,0.7580040097236633
radial,2,3.1944444506532617,0.014399999752640724,0.023000000044703484,291.0,2.1267033273320024e-11,0.23574000597000122,2.1710602760016684e-10,0.006256000138819218,8.045494825914545e-12,0.7580040097236633
radial,2,2.8703703234593076,0.014399999752640724,0.020666666328907013,291.0,1.4413322965700637e-11,0.23574000597000122,2.155763623168383e-10,0.006256000138819218,7.957483630360862e-12,0.7580040097236633
radial,2,2.546296196265353,0.014399999752640724,0.018333332613110542,291.0,9.885465709902341e-12,0.23573999106884003,1.9827903763314225e-09,0.00625600153580308,7.305310523175734e-11,0.7580040097236633
radial,2,2.2222223277721143,0.014399999752640724,0.01600000075995922,291.0,1.037997465758167e-11,0.23573987185955048,8.244500548926226e-08,0.0062560648657381535,3.0555800112352927e-09,0.7580040097236633
radial,2,2.0833332867672048,0.014399999752640724,0.014999999664723873,291.0,6.491741866287981e-11,0.23573864996433258,8.159875619639934e-07,0.006256652995944023,3.024645067739584e-08,0.758003830909729
radial,2,1.9444445044630103,0.014399999752640724,0.014000000432133675,291.0,1.4517417268322674e-09,0.2357134371995926,1.604922908882145e-05,0.00626885611563921,5.9490309922694e-07,0.7580010890960693
radial,2,1.8055555928084586,0.014399999752640724,0.013000000268220901,291.0,3.910241730409325e-08,0.2351183444261551,0.0003755872312467545,0.006556821521371603,1.39220392156858e-05,0.7579352855682373
